Hour,DryBulbTemp_C,RelativeHumidity_%,Pressure_kPa,WindSpeed_m/s
1917,31.85,45.29,101.3,2.5
1918,31.85,45.29,101.3,2.5
1919,31.85,45.28,101.3,2.5
1920,31.85,45.28,101.3,2.5
1921,31.85,45.28,101.3,2.5
1922,31.85,45.28,101.3,2.5
1923,31.85,45.28,101.3,2.5
1924,31.85,45.27,101.3,2.5
1925,31.85,45.27,101.3,2.5
1926,31.86,45.27,101.3,2.5
1927,31.86,45.27,101.3,2.5
1928,31.86,45.27,101.3,2.5
1929,31.86,45.26,101.3,2.5
1930,31.86,45.26,101.3,2.5
1931,31.86,45.26,101.3,2.5
1932,31.86,45.26,101.3,2.5
1933,31.86,45.26,101.3,2.5
1934,31.86,45.25,101.3,2.5
1935,31.87,45.25,101.3,2.5
1936,31.87,45.25,101.3,2.5
1937,31.87,45.25,101.3,2.5
1938,31.87,45.25,101.3,2.5
1939,31.87,45.24,101.3,2.5
1940,31.87,45.24,101.3,2.5
1941,31.87,45.24,101.3,2.5
1942,31.87,45.24,101.3,2.5
1943,31.87,45.24,101.3,2.5
1944,31.87,45.23,101.3,2.5
1945,31.88,45.23,101.3,2.5
1946,31.88,45.23,101.3,2.5
1947,31.88,45.23,101.3,2.5
1948,31.88,45.23,101.3,2.5
1949,31.88,45.23,101.3,2.5
1950,31.88,45.22,101.3,2.5
1951,31.88,45.22,101.3,2.5
1952,31.88,45.22,101.3,2.5
1953,31.88,45.22,101.3,2.5
1954,31.88,45.22,101.3,2.5
1955,31.89,45.21,101.3,2.5
1956,31.89,45.21,101.3,2.5
1957,31.89,45.21,101.3,2.5
1958,31.89,45.21,101.3,2.5
1959,31.89,45.21,101.3,2.5
1960,31.89,45.21,101.3,2.5
1961,31.89,45.2,101.3,2.5
1962,31.89,45.2,101.3,2.5
1963,31.89,45.2,101.3,2.5
1964,31.89,45.2,101.3,2.5
1965,31.9,45.2,101.3,2.5
1966,31.9,45.19,101.3,2.5
1967,31.9,45.19,101.3,2.5
1968,31.9,45.19,101.3,2.5
1969,31.9,45.19,101.3,2.5
1970,31.9,45.19,101.3,2.5
1971,31.9,45.19,101.3,2.5
1972,31.9,45.18,101.3,2.5
1973,31.9,45.18,101.3,2.5
1974,31.9,45.18,101.3,2.5
1975,31.9,45.18,101.3,2.5
1976,31.91,45.18,101.3,2.5
1977,31.91,45.18,101.3,2.5
1978,31.91,45.17,101.3,2.5
1979,31.91,45.17,101.3,2.5
1980,31.91,45.17,101.3,2.5
1981,31.91,45.17,101.3,2.5
1982,31.91,45.17,101.3,2.5
1983,31.91,45.17,101.3,2.5
1984,31.91,45.17,101.3,2.5
1985,31.91,45.16,101.3,2.5
1986,31.91,45.16,101.3,2.5
1987,31.91,45.16,101.3,2.5
1988,31.92,45.16,101.3,2.5
1989,31.92,45.16,101.3,2.5
1990,31.92,45.16,101.3,2.5
1991,31.92,45.15,101.3,2.5
1992,31.92,45.15,101.3,2.5
1993,31.92,45.15,101.3,2.5
1994,31.92,45.15,101.3,2.5
1995,31.92,45.15,101.3,2.5
1996,31.92,45.15,101.3,2.5
1997,31.92,45.14,101.3,2.5
1998,31.92,45.14,101.3,2.5
1999,31.92,45.14,101.3,2.5
2000,31.93,45.14,101.3,2.5
2001,31.93,45.14,101.3,2.5
2002,31.93,45.14,101.3,2.5
2003,31.93,45.14,101.3,2.5
2004,31.93,45.13,101.3,2.5
2005,31.93,45.13,101.3,2.5
2006,31.93,45.13,101.3,2.5
2007,31.93,45.13,101.3,2.5
2008,31.93,45.13,101.3,2.5
2009,31.93,45.13,101.3,2.5
2010,31.93,45.13,101.3,2.5
2011,31.93,45.12,101.3,2.5
2012,31.93,45.12,101.3,2.5
2013,31.93,45.12,101.3,2.5
2014,31.94,45.12,101.3,2.5
2015,31.94,45.12,101.3,2.5
2016,31.94,45.12,101.3,2.5
2017,31.94,45.12,101.3,2.5
2018,31.94,45.12,101.3,2.5
2019,31.94,45.11,101.3,2.5
2020,31.94,45.11,101.3,2.5
2021,31.94,45.11,101.3,2.5
2022,31.94,45.11,101.3,2.5
2023,31.94,45.11,101.3,2.5
2024,31.94,45.11,101.3,2.5
2025,31.94,45.11,101.3,2.5
2026,31.94,45.1,101.3,2.5
2027,31.94,45.1,101.3,2.5
2028,31.95,45.1,101.3,2.5
2029,31.95,45.1,101.3,2.5
2030,31.95,45.1,101.3,2.5
2031,31.95,45.1,101.3,2.5
2032,31.95,45.1,101.3,2.5
2033,31.95,45.1,101.3,2.5
2034,31.95,45.1,101.3,2.5
2035,31.95,45.09,101.3,2.5
2036,31.95,45.09,101.3,2.5
2037,31.95,45.09,101.3,2.5
2038,31.95,45.09,101.3,2.5
2039,31.95,45.09,101.3,2.5
2040,31.95,45.09,101.3,2.5
2041,31.95,45.09,101.3,2.5
2042,31.95,45.09,101.3,2.5
2043,31.95,45.08,101.3,2.5
2044,31.96,45.08,101.3,2.5
2045,31.96,45.08,101.3,2.5
2046,31.96,45.08,101.3,2.5
2047,31.96,45.08,101.3,2.5
2048,31.96,45.08,101.3,2.5
2049,31.96,45.08,101.3,2.5
2050,31.96,45.08,101.3,2.5
2051,31.96,45.08,101.3,2.5
2052,31.96,45.07,101.3,2.5
2053,31.96,45.07,101.3,2.5
2054,31.96,45.07,101.3,2.5
2055,31.96,45.07,101.3,2.5
2056,31.96,45.07,101.3,2.5
2057,31.96,45.07,101.3,2.5
2058,31.96,45.07,101.3,2.5
2059,31.96,45.07,101.3,2.5
2060,31.96,45.07,101.3,2.5
2061,31.97,45.07,101.3,2.5
2062,31.97,45.06,101.3,2.5
2063,31.97,45.06,101.3,2.5
2064,31.97,45.06,101.3,2.5
2065,31.97,45.06,101.3,2.5
2066,31.97,45.06,101.3,2.5
2067,31.97,45.06,101.3,2.5
2068,31.97,45.06,101.3,2.5
2069,31.97,45.06,101.3,2.5
2070,31.97,45.06,101.3,2.5
2071,31.97,45.06,101.3,2.5
2072,31.97,45.05,101.3,2.5
2073,31.97,45.05,101.3,2.5
2074,31.97,45.05,101.3,2.5
2075,31.97,45.05,101.3,2.5
2076,31.97,45.05,101.3,2.5
2077,31.97,45.05,101.3,2.5
2078,31.97,45.05,101.3,2.5
2079,31.97,45.05,101.3,2.5
2080,31.97,45.05,101.3,2.5
2081,31.98,45.05,101.3,2.5
2082,31.98,45.05,101.3,2.5
2083,31.98,45.04,101.3,2.5
2084,31.98,45.04,101.3,2.5
2085,31.98,45.04,101.3,2.5
2086,31.98,45.04,101.3,2.5
2087,31.98,45.04,101.3,2.5
2088,31.98,45.04,101.3,2.5
2089,31.98,45.04,101.3,2.5
2090,31.98,45.04,101.3,2.5
2091,31.98,45.04,101.3,2.5
2092,31.98,45.04,101.3,2.5
2093,31.98,45.04,101.3,2.5
2094,31.98,45.04,101.3,2.5
2095,31.98,45.04,101.3,2.5
2096,31.98,45.03,101.3,2.5
2097,31.98,45.03,101.3,2.5
2098,31.98,45.03,101.3,2.5
2099,31.98,45.03,101.3,2.5
2100,31.98,45.03,101.3,2.5
2101,31.98,45.03,101.3,2.5
2102,31.98,45.03,101.3,2.5
2103,31.98,45.03,101.3,2.5
2104,31.98,45.03,101.3,2.5
2105,31.98,45.03,101.3,2.5
2106,31.99,45.03,101.3,2.5
2107,31.99,45.03,101.3,2.5
2108,31.99,45.03,101.3,2.5
2109,31.99,45.03,101.3,2.5
2110,31.99,45.03,101.3,2.5
2111,31.99,45.02,101.3,2.5
2112,31.99,45.02,101.3,2.5
2113,31.99,45.02,101.3,2.5
2114,31.99,45.02,101.3,2.5
2115,31.99,45.02,101.3,2.5
2116,31.99,45.02,101.3,2.5
2117,31.99,45.02,101.3,2.5
2118,31.99,45.02,101.3,2.5
2119,31.99,45.02,101.3,2.5
2120,31.99,45.02,101.3,2.5
2121,31.99,45.02,101.3,2.5
2122,31.99,45.02,101.3,2.5
2123,31.99,45.02,101.3,2.5
2124,31.99,45.02,101.3,2.5
2125,31.99,45.02,101.3,2.5
2126,31.99,45.02,101.3,2.5
2127,31.99,45.02,101.3,2.5
2128,31.99,45.02,101.3,2.5
2129,31.99,45.01,101.3,2.5
2130,31.99,45.01,101.3,2.5
2131,31.99,45.01,101.3,2.5
2132,31.99,45.01,101.3,2.5
2133,31.99,45.01,101.3,2.5
2134,31.99,45.01,101.3,2.5
2135,31.99,45.01,101.3,2.5
2136,31.99,45.01,101.3,2.5
2137,31.99,45.01,101.3,2.5
2138,31.99,45.01,101.3,2.5
2139,31.99,45.01,101.3,2.5
2140,31.99,45.01,101.3,2.5
2141,31.99,45.01,101.3,2.5
2142,32,45.01,101.3,2.5
2143,32,45.01,101.3,2.5
2144,32,45.01,101.3,2.5
2145,32,45.01,101.3,2.5
2146,32,45.01,101.3,2.5
2147,32,45.01,101.3,2.5
2148,32,45.01,101.3,2.5
2149,32,45.01,101.3,2.5
2150,32,45.01,101.3,2.5
2151,32,45.01,101.3,2.5
2152,32,45.01,101.3,2.5
2153,32,45.01,101.3,2.5
2154,32,45.01,101.3,2.5
2155,32,45.01,101.3,2.5
2156,32,45,101.3,2.5
2157,32,45,101.3,2.5
2158,32,45,101.3,2.5
2159,32,45,101.3,2.5
2160,32,45,101.3,2.5
2161,32,45,101.3,2.5
2162,32,45,101.3,2.5
2163,32,45,101.3,2.5
2164,32,45,101.3,2.5
2165,32,45,101.3,2.5
2166,32,45,101.3,2.5
2167,32,45,101.3,2.5
2168,32,45,101.3,2.5
2169,32,45,101.3,2.5
2170,32,45,101.3,2.5
2171,32,45,101.3,2.5
2172,32,45,101.3,2.5
2173,32,45,101.3,2.5
2174,32,45,101.3,2.5
2175,32,45,101.3,2.5
2176,32,45,101.3,2.5
2177,32,45,101.3,2.5
2178,32,45,101.3,2.5
2179,32,45,101.3,2.5
2180,32,45,101.3,2.5
2181,32,45,101.3,2.5
2182,32,45,101.3,2.5
2183,32,45,101.3,2.5
2184,32,45,101.3,2.5
2185,32,45,101.3,2.5
2186,32,45,101.3,2.5
2187,32,45,101.3,2.5
2188,32,45,101.3,2.5
2189,32,45,101.3,2.5
2190,32,45,101.3,2.5
2191,32,45,101.3,2.5
2192,32,45,101.3,2.5
2193,32,45,101.3,2.5
2194,32,45,101.3,2.5
2195,32,45,101.3,2.5
2196,32,45,101.3,2.5
2197,32,45,101.3,2.5
2198,32,45,101.3,2.5
2199,32,45,101.3,2.5
2200,32,45,101.3,2.5
2201,32,45,101.3,2.5
2202,32,45,101.3,2.5
2203,32,45,101.3,2.5
2204,32,45,101.3,2.5
2205,32,45,101.3,2.5
2206,32,45,101.3,2.5
2207,32,45,101.3,2.5
2208,32,45,101.3,2.5
2209,32,45,101.3,2.5
2210,32,45,101.3,2.5
2211,32,45,101.3,2.5
2212,32,45,101.3,2.5
2213,32,45,101.3,2.5
2214,32,45,101.3,2.5
2215,32,45,101.3,2.5
2216,32,45,101.3,2.5
2217,32,45,101.3,2.5
2218,32,45,101.3,2.5
2219,32,45,101.3,2.5
2220,32,45,101.3,2.5
2221,32,45,101.3,2.5
2222,32,45,101.3,2.5
2223,32,45,101.3,2.5
2224,32,45,101.3,2.5
2225,32,45,101.3,2.5
2226,32,45,101.3,2.5
2227,32,45.01,101.3,2.5
2228,32,45.01,101.3,2.5
2229,32,45.01,101.3,2.5
2230,32,45.01,101.3,2.5
2231,32,45.01,101.3,2.5
2232,32,45.01,101.3,2.5
2233,32,45.01,101.3,2.5
2234,32,45.01,101.3,2.5
2235,32,45.01,101.3,2.5
2236,32,45.01,101.3,2.5
2237,32,45.01,101.3,2.5
2238,32,45.01,101.3,2.5
2239,32,45.01,101.3,2.5
2240,32,45.01,101.3,2.5
2241,31.99,45.01,101.3,2.5
2242,31.99,45.01,101.3,2.5
2243,31.99,45.01,101.3,2.5
2244,31.99,45.01,101.3,2.5
2245,31.99,45.01,101.3,2.5
2246,31.99,45.01,101.3,2.5
2247,31.99,45.01,101.3,2.5
2248,31.99,45.01,101.3,2.5
2249,31.99,45.01,101.3,2.5
2250,31.99,45.01,101.3,2.5
2251,31.99,45.01,101.3,2.5
2252,31.99,45.01,101.3,2.5
2253,31.99,45.01,101.3,2.5
2254,31.99,45.02,101.3,2.5
2255,31.99,45.02,101.3,2.5
2256,31.99,45.02,101.3,2.5
2257,31.99,45.02,101.3,2.5
2258,31.99,45.02,101.3,2.5
2259,31.99,45.02,101.3,2.5
2260,31.99,45.02,101.3,2.5
2261,31.99,45.02,101.3,2.5
2262,31.99,45.02,101.3,2.5
2263,31.99,45.02,101.3,2.5
2264,31.99,45.02,101.3,2.5
2265,31.99,45.02,101.3,2.5
2266,31.99,45.02,101.3,2.5
2267,31.99,45.02,101.3,2.5
2268,31.99,45.02,101.3,2.5
2269,31.99,45.02,101.3,2.5
2270,31.99,45.02,101.3,2.5
2271,31.99,45.02,101.3,2.5
2272,31.99,45.03,101.3,2.5
2273,31.99,45.03,101.3,2.5
2274,31.99,45.03,101.3,2.5
2275,31.99,45.03,101.3,2.5
2276,31.99,45.03,101.3,2.5
2277,31.98,45.03,101.3,2.5
2278,31.98,45.03,101.3,2.5
2279,31.98,45.03,101.3,2.5
2280,31.98,45.03,101.3,2.5
2281,31.98,45.03,101.3,2.5
2282,31.98,45.03,101.3,2.5
2283,31.98,45.03,101.3,2.5
2284,31.98,45.03,101.3,2.5
2285,31.98,45.03,101.3,2.5
2286,31.98,45.03,101.3,2.5
2287,31.98,45.04,101.3,2.5
2288,31.98,45.04,101.3,2.5
2289,31.98,45.04,101.3,2.5
2290,31.98,45.04,101.3,2.5
2291,31.98,45.04,101.3,2.5
2292,31.98,45.04,101.3,2.5
2293,31.98,45.04,101.3,2.5
2294,31.98,45.04,101.3,2.5
2295,31.98,45.04,101.3,2.5
2296,31.98,45.04,101.3,2.5
2297,31.98,45.04,101.3,2.5
2298,31.98,45.04,101.3,2.5
2299,31.98,45.04,101.3,2.5
2300,31.98,45.05,101.3,2.5
2301,31.98,45.05,101.3,2.5
2302,31.97,45.05,101.3,2.5
2303,31.97,45.05,101.3,2.5
2304,31.97,45.05,101.3,2.5
2305,31.97,45.05,101.3,2.5
2306,31.97,45.05,101.3,2.5
2307,31.97,45.05,101.3,2.5
2308,31.97,45.05,101.3,2.5
2309,31.97,45.05,101.3,2.5
2310,31.97,45.05,101.3,2.5
2311,31.97,45.06,101.3,2.5
2312,31.97,45.06,101.3,2.5
2313,31.97,45.06,101.3,2.5
2314,31.97,45.06,101.3,2.5
2315,31.97,45.06,101.3,2.5
2316,31.97,45.06,101.3,2.5
2317,31.97,45.06,101.3,2.5
2318,31.97,45.06,101.3,2.5
2319,31.97,45.06,101.3,2.5
2320,31.97,45.06,101.3,2.5
2321,31.97,45.07,101.3,2.5
2322,31.96,45.07,101.3,2.5
2323,31.96,45.07,101.3,2.5
2324,31.96,45.07,101.3,2.5
2325,31.96,45.07,101.3,2.5
2326,31.96,45.07,101.3,2.5
2327,31.96,45.07,101.3,2.5
2328,31.96,45.07,101.3,2.5
2329,31.96,45.07,101.3,2.5
2330,31.96,45.07,101.3,2.5
2331,31.96,45.08,101.3,2.5
2332,31.96,45.08,101.3,2.5
2333,31.96,45.08,101.3,2.5
2334,31.96,45.08,101.3,2.5
2335,31.96,45.08,101.3,2.5
2336,31.96,45.08,101.3,2.5
2337,31.96,45.08,101.3,2.5
2338,31.96,45.08,101.3,2.5
2339,31.95,45.08,101.3,2.5
2340,31.95,45.09,101.3,2.5
2341,31.95,45.09,101.3,2.5
2342,31.95,45.09,101.3,2.5
2343,31.95,45.09,101.3,2.5
2344,31.95,45.09,101.3,2.5
2345,31.95,45.09,101.3,2.5
2346,31.95,45.09,101.3,2.5
2347,31.95,45.09,101.3,2.5
2348,31.95,45.1,101.3,2.5
2349,31.95,45.1,101.3,2.5
2350,31.95,45.1,101.3,2.5
2351,31.95,45.1,101.3,2.5
2352,31.95,45.1,101.3,2.5
2353,31.95,45.1,101.3,2.5
2354,31.95,45.1,101.3,2.5
2355,31.94,45.1,101.3,2.5
2356,31.94,45.1,101.3,2.5
2357,31.94,45.11,101.3,2.5
2358,31.94,45.11,101.3,2.5
2359,31.94,45.11,101.3,2.5
2360,31.94,45.11,101.3,2.5
2361,31.94,45.11,101.3,2.5
2362,31.94,45.11,101.3,2.5
2363,31.94,45.11,101.3,2.5
2364,31.94,45.12,101.3,2.5
2365,31.94,45.12,101.3,2.5
2366,31.94,45.12,101.3,2.5
2367,31.94,45.12,101.3,2.5
2368,31.94,45.12,101.3,2.5
2369,31.93,45.12,101.3,2.5
2370,31.93,45.12,101.3,2.5
2371,31.93,45.12,101.3,2.5
2372,31.93,45.13,101.3,2.5
2373,31.93,45.13,101.3,2.5
2374,31.93,45.13,101.3,2.5
2375,31.93,45.13,101.3,2.5
2376,31.93,45.13,101.3,2.5
2377,31.93,45.13,101.3,2.5
2378,31.93,45.13,101.3,2.5
2379,31.93,45.14,101.3,2.5
2380,31.93,45.14,101.3,2.5
2381,31.93,45.14,101.3,2.5
2382,31.93,45.14,101.3,2.5
2383,31.92,45.14,101.3,2.5
2384,31.92,45.14,101.3,2.5
2385,31.92,45.14,101.3,2.5
2386,31.92,45.15,101.3,2.5
2387,31.92,45.15,101.3,2.5
2388,31.92,45.15,101.3,2.5
2389,31.92,45.15,101.3,2.5
2390,31.92,45.15,101.3,2.5
2391,31.92,45.15,101.3,2.5
2392,31.92,45.16,101.3,2.5
2393,31.92,45.16,101.3,2.5
2394,31.92,45.16,101.3,2.5
2395,31.91,45.16,101.3,2.5
2396,31.91,45.16,101.3,2.5
2397,31.91,45.16,101.3,2.5
2398,31.91,45.17,101.3,2.5
2399,31.91,45.17,101.3,2.5
2400,31.91,45.17,101.3,2.5
2401,31.91,45.17,101.3,2.5
2402,31.91,45.17,101.3,2.5
2403,31.91,45.17,101.3,2.5
2404,31.91,45.17,101.3,2.5
2405,31.91,45.18,101.3,2.5
2406,31.91,45.18,101.3,2.5
2407,31.9,45.18,101.3,2.5
2408,31.9,45.18,101.3,2.5
2409,31.9,45.18,101.3,2.5
2410,31.9,45.18,101.3,2.5
2411,31.9,45.19,101.3,2.5
2412,31.9,45.19,101.3,2.5
2413,31.9,45.19,101.3,2.5
2414,31.9,45.19,101.3,2.5
2415,31.9,45.19,101.3,2.5
2416,31.9,45.19,101.3,2.5
2417,31.9,45.2,101.3,2.5
2418,31.89,45.2,101.3,2.5
2419,31.89,45.2,101.3,2.5
2420,31.89,45.2,101.3,2.5
2421,31.89,45.2,101.3,2.5
2422,31.89,45.21,101.3,2.5
2423,31.89,45.21,101.3,2.5
2424,31.89,45.21,101.3,2.5
2425,31.89,45.21,101.3,2.5
2426,31.89,45.21,101.3,2.5
2427,31.89,45.21,101.3,2.5
2428,31.88,45.22,101.3,2.5
2429,31.88,45.22,101.3,2.5
2430,31.88,45.22,101.3,2.5
2431,31.88,45.22,101.3,2.5
2432,31.88,45.22,101.3,2.5
2433,31.88,45.23,101.3,2.5
2434,31.88,45.23,101.3,2.5
2435,31.88,45.23,101.3,2.5
2436,31.88,45.23,101.3,2.5
2437,31.88,45.23,101.3,2.5
2438,31.87,45.23,101.3,2.5
2439,31.87,45.24,101.3,2.5
2440,31.87,45.24,101.3,2.5
2441,31.87,45.24,101.3,2.5
2442,31.87,45.24,101.3,2.5
2443,31.87,45.24,101.3,2.5
2444,31.87,45.25,101.3,2.5
2445,31.87,45.25,101.3,2.5
2446,31.87,45.25,101.3,2.5
2447,31.87,45.25,101.3,2.5
2448,31.86,45.25,101.3,2.5
2449,31.86,45.26,101.3,2.5
2450,31.86,45.26,101.3,2.5
2451,31.86,45.26,101.3,2.5
2452,31.86,45.26,101.3,2.5
2453,31.86,45.26,101.3,2.5
2454,31.86,45.27,101.3,2.5
2455,31.86,45.27,101.3,2.5
2456,31.86,45.27,101.3,2.5
2457,31.85,45.27,101.3,2.5
2458,31.85,45.27,101.3,2.5
2459,31.85,45.28,101.3,2.5
2460,31.85,45.28,101.3,2.5
2461,31.85,45.28,101.3,2.5
2462,31.85,45.28,101.3,2.5
2463,31.85,45.28,101.3,2.5
2464,31.85,45.29,101.3,2.5
2465,31.85,45.29,101.3,2.5
2466,31.84,45.29,101.3,2.5
2467,31.84,45.29,101.3,2.5
2468,31.84,45.3,101.3,2.5
2469,31.84,45.3,101.3,2.5
2470,31.84,45.3,101.3,2.5
2471,31.84,45.3,101.3,2.5
2472,31.84,45.3,101.3,2.5
2473,31.84,45.31,101.3,2.5
2474,31.84,45.31,101.3,2.5
2475,31.83,45.31,101.3,2.5
2476,31.83,45.31,101.3,2.5
2477,31.83,45.31,101.3,2.5
2478,31.83,45.32,101.3,2.5
2479,31.83,45.32,101.3,2.5
2480,31.83,45.32,101.3,2.5
2481,31.83,45.32,101.3,2.5
2482,31.83,45.33,101.3,2.5
2483,31.83,45.33,101.3,2.5
2484,31.82,45.33,101.3,2.5
2485,31.82,45.33,101.3,2.5
2486,31.82,45.33,101.3,2.5
2487,31.82,45.34,101.3,2.5
2488,31.82,45.34,101.3,2.5
2489,31.82,45.34,101.3,2.5
2490,31.82,45.34,101.3,2.5
2491,31.82,45.35,101.3,2.5
2492,31.81,45.35,101.3,2.5
2493,31.81,45.35,101.3,2.5
2494,31.81,45.35,101.3,2.5
2495,31.81,45.36,101.3,2.5
2496,31.81,45.36,101.3,2.5
2497,31.81,45.36,101.3,2.5
2498,31.81,45.36,101.3,2.5
2499,31.81,45.36,101.3,2.5
2500,31.8,45.37,101.3,2.5
2501,31.8,45.37,101.3,2.5
2502,31.8,45.37,101.3,2.5
2503,31.8,45.37,101.3,2.5
2504,31.8,45.38,101.3,2.5
2505,31.8,45.38,101.3,2.5
2506,31.8,45.38,101.3,2.5
2507,31.8,45.38,101.3,2.5
2508,31.79,45.39,101.3,2.5
2509,31.79,45.39,101.3,2.5
2510,31.79,45.39,101.3,2.5
2511,31.79,45.39,101.3,2.5
2512,31.79,45.4,101.3,2.5
2513,31.79,45.4,101.3,2.5
2514,31.79,45.4,101.3,2.5
2515,31.78,45.4,101.3,2.5
2516,31.78,45.41,101.3,2.5
2517,31.78,45.41,101.3,2.5
2518,31.78,45.41,101.3,2.5
2519,31.78,45.41,101.3,2.5
2520,31.78,45.42,101.3,2.5
2521,31.78,45.42,101.3,2.5
2522,31.78,45.42,101.3,2.5
2523,31.77,45.42,101.3,2.5
2524,31.77,45.43,101.3,2.5
2525,31.77,45.43,101.3,2.5
2526,31.77,45.43,101.3,2.5
2527,31.77,45.43,101.3,2.5
2528,31.77,45.44,101.3,2.5
2529,31.77,45.44,101.3,2.5
2530,31.76,45.44,101.3,2.5
2531,31.76,45.44,101.3,2.5
2532,31.76,45.45,101.3,2.5
2533,31.76,45.45,101.3,2.5
2534,31.76,45.45,101.3,2.5
2535,31.76,45.45,101.3,2.5
2536,31.76,45.46,101.3,2.5
2537,31.75,45.46,101.3,2.5
2538,31.75,45.46,101.3,2.5
2539,31.75,45.46,101.3,2.5
2540,31.75,45.47,101.3,2.5
2541,31.75,45.47,101.3,2.5
2542,31.75,45.47,101.3,2.5
2543,31.75,45.48,101.3,2.5
2544,31.74,45.48,101.3,2.5
2545,31.74,45.48,101.3,2.5
2546,31.74,45.48,101.3,2.5
2547,31.74,45.49,101.3,2.5
2548,31.74,45.49,101.3,2.5
2549,31.74,45.49,101.3,2.5
2550,31.74,45.49,101.3,2.5
2551,31.73,45.5,101.3,2.5
2552,31.73,45.5,101.3,2.5
2553,31.73,45.5,101.3,2.5
2554,31.73,45.51,101.3,2.5
2555,31.73,45.51,101.3,2.5
2556,31.73,45.51,101.3,2.5
2557,31.73,45.51,101.3,2.5
2558,31.72,45.52,101.3,2.5
2559,31.72,45.52,101.3,2.5
2560,31.72,45.52,101.3,2.5
2561,31.72,45.53,101.3,2.5
2562,31.72,45.53,101.3,2.5
2563,31.72,45.53,101.3,2.5
2564,31.72,45.53,101.3,2.5
2565,31.71,45.54,101.3,2.5
2566,31.71,45.54,101.3,2.5
2567,31.71,45.54,101.3,2.5
2568,31.71,45.55,101.3,2.5
2569,31.71,45.55,101.3,2.5
2570,31.71,45.55,101.3,2.5
2571,31.7,45.55,101.3,2.5
2572,31.7,45.56,101.3,2.5
2573,31.7,45.56,101.3,2.5
2574,31.7,45.56,101.3,2.5
2575,31.7,45.57,101.3,2.5
2576,31.7,45.57,101.3,2.5
2577,31.7,45.57,101.3,2.5
2578,31.69,45.57,101.3,2.5
2579,31.69,45.58,101.3,2.5
2580,31.69,45.58,101.3,2.5
2581,31.69,45.58,101.3,2.5
2582,31.69,45.59,101.3,2.5
2583,31.69,45.59,101.3,2.5
2584,31.68,45.59,101.3,2.5
2585,31.68,45.59,101.3,2.5
2586,31.68,45.6,101.3,2.5
2587,31.68,45.6,101.3,2.5
2588,31.68,45.6,101.3,2.5
2589,31.68,45.61,101.3,2.5
2590,31.67,45.61,101.3,2.5
2591,31.67,45.61,101.3,2.5
2592,31.67,45.62,101.3,2.5
2593,31.67,45.62,101.3,2.5
2594,31.67,45.62,101.3,2.5
2595,31.67,45.63,101.3,2.5
2596,31.66,45.63,101.3,2.5
2597,31.66,45.63,101.3,2.5
2598,31.66,45.63,101.3,2.5
2599,31.66,45.64,101.3,2.5
2600,31.66,45.64,101.3,2.5
2601,31.66,45.64,101.3,2.5
2602,31.65,45.65,101.3,2.5
2603,31.65,45.65,101.3,2.5
2604,31.65,45.65,101.3,2.5
2605,31.65,45.66,101.3,2.5
2606,31.65,45.66,101.3,2.5
2607,31.65,45.66,101.3,2.5
2608,31.64,45.67,101.3,2.5
2609,31.64,45.67,101.3,2.5
2610,31.64,45.67,101.3,2.5
2611,31.64,45.68,101.3,2.5
2612,31.64,45.68,101.3,2.5
2613,31.64,45.68,101.3,2.5
2614,31.63,45.69,101.3,2.5
2615,31.63,45.69,101.3,2.5
2616,31.63,45.69,101.3,2.5
2617,31.63,45.69,101.3,2.5
2618,31.63,45.7,101.3,2.5
2619,31.63,45.7,101.3,2.5
2620,31.62,45.7,101.3,2.5
2621,31.62,45.71,101.3,2.5
2622,31.62,45.71,101.3,2.5
2623,31.62,45.71,101.3,2.5
2624,31.62,45.72,101.3,2.5
2625,31.62,45.72,101.3,2.5
2626,31.61,45.72,101.3,2.5
2627,31.61,45.73,101.3,2.5
2628,31.61,45.73,101.3,2.5
2629,31.61,45.73,101.3,2.5
2630,31.61,45.74,101.3,2.5
2631,31.6,45.74,101.3,2.5
2632,31.6,45.74,101.3,2.5
2633,31.6,45.75,101.3,2.5
2634,31.6,45.75,101.3,2.5
2635,31.6,45.75,101.3,2.5
2636,31.6,45.76,101.3,2.5
2637,31.59,45.76,101.3,2.5
2638,31.59,45.76,101.3,2.5
2639,31.59,45.77,101.3,2.5
2640,31.59,45.77,101.3,2.5
2641,31.59,45.77,101.3,2.5
2642,31.59,45.78,101.3,2.5
2643,31.58,45.78,101.3,2.5
2644,31.58,45.78,101.3,2.5
2645,31.58,45.79,101.3,2.5
2646,31.58,45.79,101.3,2.5
2647,31.58,45.8,101.3,2.5
2648,31.57,45.8,101.3,2.5
2649,31.57,45.8,101.3,2.5
2650,31.57,45.81,101.3,2.5
2651,31.57,45.81,101.3,2.5
2652,31.57,45.81,101.3,2.5
2653,31.56,45.82,101.3,2.5
2654,31.56,45.82,101.3,2.5
2655,31.56,45.82,101.3,2.5
2656,31.56,45.83,101.3,2.5
2657,31.56,45.83,101.3,2.5
2658,31.56,45.83,101.3,2.5
2659,31.55,45.84,101.3,2.5
2660,31.55,45.84,101.3,2.5
2661,31.55,45.84,101.3,2.5
2662,31.55,45.85,101.3,2.5
2663,31.55,45.85,101.3,2.5
2664,31.54,45.85,101.3,2.5
2665,31.54,45.86,101.3,2.5
2666,31.54,45.86,101.3,2.5
2667,31.54,45.87,101.3,2.5
2668,31.54,45.87,101.3,2.5
